"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"V1_L",0.248241338180558,0.397745741288132,0.00540502845777714,0.0163682527265428,0.0253716670085297,0
"MST_L",0,0,0,0.0210841082546126,0.0212705923283282,0
"V6_L",0.612632074840274,0.759791504086204,0.0167193014239124,0.0105716324180212,0.0259483640980199,0
"V2_L",0.345865178459602,0.513967051076333,0.00723674923609902,0.0136868640294217,0.0210568042144007,0
"V3_L",0.303744296910826,0.465956856157357,0.00599807137156492,0.013749036418004,0.0238034958548428,0
"V4_L",0.276234525889261,0.432889912137089,0.00443054127982118,0.0116085156250255,0.0186291694342627,0
"V8_L",0.167593417401352,0.287074961032849,0.00258998803650887,0.0128640081685233,0.0150403792249785,0
"X4_L",0.106592396106133,0.192649789536254,0.00316897360208612,0.0265608543955021,0.0318242917923273,0
"X3b_L",0.205260202170635,0.340607284304199,0.00474325575064061,0.0183652460460082,0.0224296394619742,0
"FEF_L",0.649396497750357,0.787435281493663,0.0152482508201641,0.00823239755565431,0.0251880980889866,0
"PEF_L",0.398377009461747,0.569770536509446,0.00793462977563645,0.0119827589972675,0.0192130091534041,0
"X55b_L",0.535369218329403,0.697381726737918,0.0167908899652233,0.0145723064800609,0.0350731052166369,0
"V3A_L",0.40715801184994,0.578695510271322,0.00745234884825957,0.0108509845784843,0.0189363841173629,0
"RSC_L",0.132922369637896,0.234653976653988,0.0025627632376742,0.0167173868578712,0.0185440000280359,0
"POS2_L",0.605395943569262,0.75420141180037,0.020502640849856,0.013363857708059,0.0323714903607139,0
"V7_L",0.251145689912955,0.401465140211493,0.00488116171672601,0.0145544165662132,0.0204362877128256,0
"IPS1_L",0.340881551297884,0.508443942670303,0.0058426168039506,0.0112971104171478,0.020018235472942,0
"FFC_L",0.0466546056600035,0.0891499553103936,0.000822024123208202,0.0167973322421359,0.0179551553300992,0
"V3B_L",0.0752303205613805,0.13993340612289,0.001081163694953,0.0132902185733291,0.0180259310627879,0
