"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"X23c_L",0.427665799704937,0.599111920721678,0.00971720506861057,0.013004286982694,0.0379507897477178,0
"X5L_L",0.328591612747761,0.494646525832232,0.00723056531974497,0.0147741512927128,0.0305008356519757,0
"X24dd_L",0.397520306369067,0.568893782161741,0.00877914113403064,0.0133056203067595,0.0338434863868151,0
"X24dv_L",0.247234979007956,0.396452926945018,0.00334983261831291,0.0101993529854164,0.0257460417673983,0
"X7AL_L",0.0523960494640655,0.0995747741370718,0.00070971701074371,0.0128355219529391,0.0245908723770507,0
"SCEF_L",0.42217040505721,0.59369876289927,0.00757517762625941,0.0103682346440367,0.0290184534402051,0
"X6ma_L",0.737384780946084,0.848844526593061,0.0173339252456197,0.00617337473334083,0.0300437820171275,0
"X7Am_L",0.404463039722685,0.575968221709199,0.00946655490113638,0.0139386860514782,0.0367355367537346,0
"X7Pl_L",0.563807378081585,0.721070108740938,0.0146815718624468,0.0113584773337919,0.0313977070232395,0
"X7PC_L",0.309226560705615,0.472380518371022,0.0053085564906574,0.0118586508751781,0.0286070979384069,0
"LIPv_L",0.568490727214255,0.724888859526678,0.0101403810437895,0.00769699177226308,0.03176398349078,0
"VIP_L",0.511070101173592,0.676434668089406,0.0113131584241352,0.0108230581108495,0.0320367561048998,0
"MIP_L",0.569809388072721,0.725959969920023,0.0131170220359246,0.00990299537777686,0.0328252545489873,0
"X1_L",0.292568158514967,0.452692814050284,0.00800281859926132,0.0193508710157756,0.0364109835568195,0
"X2_L",0.171642644823242,0.292994874472389,0.00298640788862606,0.0144125776123342,0.027298507644534,0
"X3a_L",0.331773102786494,0.498242684271546,0.00832600622849311,0.0167694766740228,0.033640132466644,0
"X6d_L",0.267920915026618,0.422614552455731,0.00444954189684211,0.0121581271849093,0.0238768368005792,0
"X6mp_L",0.220931695021748,0.361906724057668,0.00487622766389457,0.0171949725023584,0.0305581659082928,0
"X6v_L",0.15328275207866,0.265819898550265,0.00236133052134176,0.013043732927219,0.0271599387695934,0
"p24pr_L",0.13131089481224,0.232139362246721,0.00241521542506153,0.015977892233789,0.0341662398963729,0
"X33pr_L",0.213841467660391,0.352338379199646,0.00611737372641793,0.0224896770638111,0.0319157680295597,0
"a24pr_L",0.101499170626865,0.184292777213989,0.00205322490827679,0.0181757572163647,0.0320750493995622,0
