delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,contrast,comp
121.176693878614,51.831137610386,0.404182314562494,131.679009000603,5.55846687111819,0.0421872016124017,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
-1.929280270601,8.92905812375398,1.7835927051656,-0.860636812368337,9.09447665438224,1.66514825593824,cpac_default_all__CompTo__cpac_fmriprep_all,compare_pipeline
-13.513004327857,-11.414311191704,3.8429963996403,-14.8482379692747,-9.61340809253054,3.71616919992866,cpac_default_all__CompTo__cpac_ccs_all,compare_pipeline
-0.242089255489987,18.59789909742,1.5838126133217,1.7327232517555,18.5185887199394,1.47750125084338,cpac_default_all__CompTo__cpac_abcd_all,compare_pipeline
-121.176693878614,-51.831137610386,3.54577496815229,-127.089397399111,-34.9076357559327,3.40965197419468,cpac_default_all_gsr__CompTo__cpac_default_all,compare_GSR
-0.920841694960004,4.26580091511403,1.78340014763404,0.610600853294482,4.32113104088739,1.43041992303483,cpac_default_all_gsr__CompTo__cpac_fmriprep_all_gsr,compare_pipeline
-3.49421952233601,-22.415102905512,4.55774676482389,-11.583440402356,-19.505648330164,4.17650338837744,cpac_default_all_gsr__CompTo__cpac_ccs_all_gsr,compare_pipeline
-9.411607261546,-0.378754308804957,3.1818142681793,-9.01712039144956,2.72274602527085,2.84834513418443,cpac_default_all_gsr__CompTo__cpac_abcd_all_gsr,compare_pipeline
1.929280270601,-8.92905812375398,4.92518535875539,0.69973359022695,-9.10826955258875,4.78906236479779,cpac_fmriprep_all__CompTo__cpac_default_all,compare_pipeline
122.185132454255,47.167880401746,0.368410937611704,130.957746502822,2.02093180486596,0.0154307130124938,cpac_fmriprep_all__CompTo__cpac_fmriprep_all_gsr,compare_GSR
-11.583724057256,-20.343369315458,4.19476565384259,-14.0638672311375,-18.7147796312087,4.06793845413096,cpac_fmriprep_all__CompTo__cpac_ccs_all,compare_pipeline
1.68719101511101,9.66884097366602,1.39803802550224,2.70363808383619,9.435223389361,1.29172666302392,cpac_fmriprep_all__CompTo__cpac_abcd_all,compare_pipeline
0.920841694960004,-4.26580091511403,4.92499280122384,-0.649530028500718,-4.31545103281689,4.56299768827374,cpac_fmriprep_all_gsr__CompTo__cpac_default_all_gsr,compare_pipeline
-122.185132454255,-47.167880401746,3.5100035912015,-126.902780907349,-32.3990699316931,3.39155914197413,cpac_fmriprep_all_gsr__CompTo__cpac_fmriprep_all,compare_GSR
-2.57337782737601,-26.680903820626,4.61623622792205,-12.315909920028,-23.8077984066079,4.2349928514756,cpac_fmriprep_all_gsr__CompTo__cpac_ccs_all_gsr,compare_pipeline
-8.49076556658599,-4.64455522391899,3.64213933478578,-9.54330039572419,-1.60947528459619,3.30867020079091,cpac_fmriprep_all_gsr__CompTo__cpac_abcd_all_gsr,compare_pipeline
13.513004327857,11.414311191704,0.701403746050506,14.936959419094,9.47496856237956,0.565280752092903,cpac_ccs_all__CompTo__cpac_default_all,compare_pipeline
11.583724057256,20.343369315458,1.0531730002528,13.9064936058321,18.8320145956486,0.934728551025435,cpac_ccs_all__CompTo__cpac_fmriprep_all,compare_pipeline
131.195478684135,40.830345896578,0.301716161763273,136.967946020454,-10.9157013577455,6.20365809249641,cpac_ccs_all__CompTo__cpac_ccs_all_gsr,compare_GSR
13.270915072367,30.012210289124,1.15446128236146,16.3806232415814,28.4345764082031,1.04814991988314,cpac_ccs_all__CompTo__cpac_abcd_all,compare_pipeline
3.49421952233601,22.415102905512,1.41615411123409,11.2058679860801,19.7249824084462,1.054158998284,cpac_ccs_all_gsr__CompTo__cpac_default_all_gsr,compare_pipeline
2.57337782737601,26.680903820626,1.47464357433225,11.6381973963846,24.1463302282296,1.12166334973304,cpac_ccs_all_gsr__CompTo__cpac_fmriprep_all_gsr,compare_pipeline
-131.195478684135,-40.830345896578,3.44330881535307,-135.306270600288,-23.9078210934239,3.31648161564143,cpac_ccs_all_gsr__CompTo__cpac_ccs_all,compare_GSR
-5.91738773920999,22.036348596707,1.83313614204059,1.62159049484952,22.7593185618277,1.49966700804573,cpac_ccs_all_gsr__CompTo__cpac_abcd_all_gsr,compare_pipeline
0.242089255489987,-18.59789909742,4.72540526691149,-2.2839409166171,-18.4587126294019,4.58928227295389,cpac_abcd_all__CompTo__cpac_default_all,compare_pipeline
-1.68719101511101,-9.66884097366602,4.53963067909203,-2.81791465771006,-9.4017262392274,4.42118622986467,cpac_abcd_all__CompTo__cpac_fmriprep_all,compare_pipeline
-13.270915072367,-30.012210289124,4.29605393595126,-16.9604942834412,-28.092553941533,4.16922673623962,cpac_abcd_all__CompTo__cpac_ccs_all,compare_pipeline
112.007175872558,32.854484204161,0.285321577231093,116.591010034075,-5.6179140703503,6.23503775041581,cpac_abcd_all__CompTo__cpac_abcd_all_gsr,compare_GSR
9.411607261546,0.378754308804957,0.0402216145895082,8.93579342025686,-2.97882561129683,5.961411808819,cpac_abcd_all_gsr__CompTo__cpac_default_all_gsr,compare_pipeline
8.49076556658599,4.64455522391899,0.500546681195985,9.57288459461104,1.42298055960514,0.147566456596775,cpac_abcd_all_gsr__CompTo__cpac_fmriprep_all_gsr,compare_pipeline
5.91738773920999,-22.036348596707,4.97472879563039,-2.70663594708678,-22.6559100232518,4.59348541918394,cpac_abcd_all_gsr__CompTo__cpac_ccs_all_gsr,compare_pipeline
-112.007175872558,-32.854484204161,3.42691423082089,-114.861042673786,-20.7837786544758,3.32060286834256,cpac_abcd_all_gsr__CompTo__cpac_abcd_all,compare_GSR
