label_matchedTo_ggseg	Yeo
7Networks_RH_DorsAttn_FEF_2	3
7Networks_RH_DorsAttn_PrCv_1	3
7Networks_RH_SalVentAttn_TempOccPar_1	4
7Networks_RH_SalVentAttn_TempOccPar_2	4
7Networks_RH_SalVentAttn_TempOccPar_3	4
7Networks_RH_SalVentAttn_PrC_1	4
7Networks_RH_SalVentAttn_FrOperIns_1	4
7Networks_RH_SalVentAttn_FrOperIns_2	4
7Networks_RH_SalVentAttn_FrOperIns_3	4
7Networks_RH_SalVentAttn_FrOperIns_4	4
7Networks_RH_SalVentAttn_Med_1	4
7Networks_RH_SalVentAttn_Med_2	4
7Networks_RH_SalVentAttn_Med_3	4
7Networks_RH_Limbic_OFC_1	5
7Networks_RH_Limbic_OFC_2	5
7Networks_RH_Limbic_OFC_3	5
7Networks_RH_Limbic_TempPole_1	5
7Networks_RH_Limbic_TempPole_2	5
7Networks_RH_Limbic_TempPole_3	5
7Networks_RH_Cont_Par_1	6
7Networks_RH_Cont_Par_2	6
7Networks_RH_Cont_Par_3	6
7Networks_RH_Cont_Temp_1	6
7Networks_RH_Cont_PFCv_1	6
7Networks_RH_Cont_PFCl_1	6
7Networks_RH_Cont_PFCl_2	6
7Networks_RH_Cont_PFCl_3	6
7Networks_RH_Cont_PFCl_4	6
7Networks_RH_Cont_PFCl_5	6
7Networks_RH_Cont_PFCl_6	6
7Networks_RH_Cont_PFCl_7	6
7Networks_RH_Cont_pCun_1	6
7Networks_RH_Cont_PFCmp_1	6
7Networks_RH_Cont_PFCmp_2	6
7Networks_RH_Cont_Cing_1	6
7Networks_RH_Cont_Cing_2	6
7Networks_RH_Default_Par_1	7
7Networks_RH_Default_Par_2	7
7Networks_RH_Default_Par_3	7
7Networks_RH_Default_Temp_1	7
7Networks_RH_Default_Temp_2	7
7Networks_RH_Default_Temp_3	7
7Networks_RH_Default_Temp_4	7
7Networks_RH_Default_Temp_5	7
7Networks_RH_Default_PFCv_1	7
7Networks_RH_Default_PFCdPFCm_1	7
7Networks_RH_Default_PFCdPFCm_2	7
7Networks_RH_Default_PFCdPFCm_3	7
7Networks_RH_Default_PFCdPFCm_4	7
7Networks_RH_Default_PFCdPFCm_5	7
7Networks_RH_Default_PFCdPFCm_6	7
7Networks_RH_Default_PFCdPFCm_7	7
7Networks_RH_Default_pCunPCC_1	7
7Networks_RH_Default_pCunPCC_2	7
7Networks_RH_Default_pCunPCC_3	7
