delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,parcel,contrast,comp
1.00755244605975,0.41352074668463,0.389457646687472,1.08909031147526,-0.00660552422606159,6.277120205727,1,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.08563630188222,-0.27856327319566,6.03201409842789,0.960681670109455,-0.577316556019045,5.74207146560058,2,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.76075963744868,0.48412385838782,0.566733043267492,0.85430316590855,0.288612607053097,0.325795619423216,3,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.51963005247493,-0.14043041263272,6.01923977289624,0.452320807339142,-0.291790985939184,5.71026426416385,4,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.58517611496138,0.6046871097729,0.364425378825815,1.69284599942498,0.112704207554054,0.0664786577642611,5,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.59753113662043,2.3762298864545,1.32444228934524,1.28080682780006,2.08879051184441,1.0207411868433,6,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.53285042824107,0.0981492395369599,0.18215484544182,0.534482778524998,-0.0888313658488527,6.11849012086394,7,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.15449275162401,-0.62248930155068,5.7886804892811,0.74020833266491,-1.08279179362926,5.31203069275967,8,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.34794077115504,1.38203449851368,0.797886172138509,1.65384710767366,0.995868175042999,0.542000719978702,9,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.06052092722639,-0.4055436804609,4.86052975182933,-0.0765402766135042,-0.402827562922453,4.5246197509886,10,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.05190575334918,0.69130176778212,0.581412992141622,1.21418975098627,0.331884161519784,0.266820379055545,11,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.42822665267721,-0.23652530892865,5.77854983228152,0.337610303398342,-0.354036115200413,5.47404275024878,12,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.46642363838513,0.62590974076707,0.93037872005376,0.589727038471214,0.511405938690093,0.714390009660244,13,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.59745124611355,0.37527608701055,0.560845778973485,0.680730270988103,0.185435787066703,0.265954056393573,14,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.38474015179797,1.45541162663393,0.81027602206004,1.80976171578619,0.872061249579011,0.449034827729516,15,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.27060524661586,0.86804954517868,0.599346584927335,1.46429541392872,0.473060933030807,0.312479733986928,16,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.49782041397218,1.51016824912801,0.789503154200653,1.95311197336403,0.842275342562167,0.407150709486694,17,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.80148971106482,0.70639756492173,0.722418398073165,1.00454306175876,0.363698382925265,0.347372335127562,18,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.80588099836556,0.94049442076924,0.862327649546225,1.07887159143277,0.608284496123361,0.513388189297536,19,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.09402707834722,0.58102329742732,0.488206633390125,1.22232283980091,0.201022873353544,0.163000613592933,20,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.40435615789276,-0.0521499038936,6.24606797587361,1.25637187303318,-0.629655101891915,5.81860263867919,21,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.40138456093442,0.76953266076755,0.502169732344322,1.58075977142348,0.23928591404958,0.150233431639815,22,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.49860079348477,1.14489485373414,0.652385831517088,1.78807819315295,0.599470549327462,0.323483276633039,23,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.84248753039271,0.18221037464455,0.212996076664121,0.857080614860492,-0.0916443076556059,6.17666391333415,24,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.92671461988263,0.511062184322,0.259279860381575,1.9905013543431,-0.106386752331883,6.22978889840995,25,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.83258384461593,0.27523215624524,0.149073834321966,1.79615165750114,-0.456021392737886,6.03455068947514,26,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.40357396288778,0.61713833623293,0.414247664039946,1.51321824200014,0.24708328033856,0.161854965712098,27,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.65343413889011,0.5061848941915,0.297081678922217,1.72611623866565,-0.102909325960791,6.22363679289479,28,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.2133734601963,0.30710273112517,0.247892555258316,1.25059176605131,-0.0510634512929235,6.24237654506262,29,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.5897581976498,0.40101093888399,0.247091894518936,1.63924966609612,0.0316454151989325,0.0193024196193161,30,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.79476547370571,0.68744045766335,0.713115337415321,0.922500058843549,0.503209879136635,0.499370138028834,31,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.06967949046841,-0.0764639991959699,6.21182359714255,0.935751235272642,-0.523861223214243,5.77282672798788,32,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
