delta.sigma2_w,delta.sigma2_b,delta.theta,delta.sigma2_w_norm,delta.sigma2_b_norm,delta.theta_norm,parcel,contrast,comp
2.5414787872188,1.45728288305354,0.520630694018031,2.15005944863326,1.98998296336095,0.74675199299851,1,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
2.42696837561218,0.65711546536544,0.26441603159211,1.94216405061682,1.59686412431858,0.688136880304728,2,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.98567113323497,1.42436669018579,0.62225747995924,1.27412878874779,2.08525925178563,1.02231547073569,3,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.83192508128498,0.65799876307955,0.669189082757999,0.650836401474657,0.837540262674432,0.910187617014383,4,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
5.15164262724868,0.49707810408521,0.0961914621030089,4.91518977216728,1.62093118423602,0.318549134493089,5,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.50176543667877,4.45356653984376,1.24556522182283,0.434601885040961,4.67981576059761,1.47819462014744,6,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.51285713957311,0.35259001960402,0.228974913411737,1.34324152630477,0.780229869136099,0.526224065199227,7,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
2.04579123244211,0.78129399241333,0.364808916650919,1.90734003741539,1.07598143617371,0.513624312156371,8,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.02087313308974,2.45371366357338,0.682167835211043,2.06246440827616,3.30039782353949,1.01225894309324,9,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
-0.11036891108506,0.15587736555963,2.18690432232926,-0.142792853315746,0.12684341003718,2.41527734527344,10,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
2.44064193290288,1.87420917532684,0.654869399189265,1.66283710292632,2.58927902062617,0.999923389350357,11,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.87771522342611,0.52553673283426,0.539503853333245,0.677912370199141,0.766164270455779,0.846435282559991,12,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.44195206733587,1.30417096101419,1.24406581229396,-0.0866500881810431,1.37429083078995,1.63376373984662,13,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
0.93448678578742,0.8785853536515,0.754575491211876,0.608348783042389,1.12919862496953,1.07663614915565,14,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
4.21751442001939,1.66079120727835,0.375136607185972,3.76094933247576,2.53000305055048,0.592170179905945,15,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
4.1967686853041,1.88298455594174,0.421751383111832,3.54589125576069,2.93004324851769,0.69058535793207,16,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
4.53453498287629,2.22609581605248,0.456357597179438,4.12440827910688,2.91663615152968,0.615518353803066,17,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
2.29708896932467,1.21373794823492,0.486093703513356,2.07733532761824,1.56027416712827,0.644200921690642,18,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.17368156976099,1.65937619316027,0.481764215385164,2.89922026157364,2.10245236130299,0.627425219938841,19,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.40653771942238,0.87606075932368,0.251715831363702,3.02407011529751,1.7963801450803,0.536016220015056,20,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.79876398340593,-0.22850153903494,6.22310614774602,3.80094806615565,0.188718185003623,0.0496095546973055,21,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
4.53528978811998,2.13074944741291,0.439209759962275,4.26200256841066,2.63520032952653,0.553767526523649,22,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.96707539652462,2.13773716688141,0.494257819392677,3.44693570545013,2.90279893187078,0.699912598915107,23,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
1.43513138232033,0.77237943383332,0.493734122902927,1.26137506746872,1.0320392499792,0.685731934659332,24,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
4.08044263683201,1.72885033016636,0.400762119479704,3.47885359172677,2.74527107294027,0.668078251202323,25,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.40524788060533,1.15432917658033,0.326828723528082,3.33321390627194,1.34828558966826,0.384379803357844,26,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.00740751043026,1.60025358056442,0.488999748115509,2.53802821962052,2.2723829369874,0.730231207469217,27,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
3.46263876618897,1.75820060990654,0.4698388800334,3.3688302982991,1.9318693100343,0.520671665960239,28,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
2.12647822154956,1.71959055786241,0.679997087046801,1.56931101380603,2.23967949835713,0.959610424076076,29,cpac_default_all__CompTo__cpac_default_all_gsr,compare_GSR
