Hemi,HCPMMP_labels,Yeo7Network_keys,Yeo7Network_labels,Yeo7Network_colors
L,141,3,N3_DorsalA,#00760e
L,142,1,N1_Visual,#781286
L,143,3,N3_DorsalA,#00760e
L,144,6,N6_Frontop,#e69422
L,145,6,N6_Frontop,#e69422
L,146,1,N1_Visual,#781286
L,147,4,N4_Ventral,#c43afa
L,148,4,N4_Ventral,#c43afa
L,149,7,N7_Default,#cd3e4e
L,150,7,N7_Default,#cd3e4e
L,151,7,N7_Default,#cd3e4e
L,152,1,N1_Visual,#781286
L,153,1,N1_Visual,#781286
L,154,1,N1_Visual,#781286
L,155,7,N7_Default,#cd3e4e
L,156,1,N1_Visual,#781286
L,157,3,N3_DorsalA,#00760e
L,158,1,N1_Visual,#781286
L,159,1,N1_Visual,#781286
L,160,1,N1_Visual,#781286
L,161,7,N7_Default,#cd3e4e
L,162,7,N7_Default,#cd3e4e
L,163,1,N1_Visual,#781286
L,164,5,N5_Limbic,#dcf8a4
L,165,5,N5_Limbic,#dcf8a4
L,166,5,N5_Limbic,#dcf8a4
L,167,4,N4_Ventral,#c43afa
L,168,2,N2_Somatom,#4682b4
L,169,4,N4_Ventral,#c43afa
L,170,7,N7_Default,#cd3e4e
L,171,6,N6_Frontop,#e69422
L,172,5,N5_Limbic,#dcf8a4
L,173,2,N2_Somatom,#4682b4
L,174,2,N2_Somatom,#4682b4
L,175,2,N2_Somatom,#4682b4
L,176,7,N7_Default,#cd3e4e
L,177,7,N7_Default,#cd3e4e
L,178,4,N4_Ventral,#c43afa
L,179,6,N6_Frontop,#e69422
L,180,7,N7_Default,#cd3e4e
R,1,1,,#781286
R,2,1,,#00760e
R,3,1,,#781286
R,4,1,,#781286
R,5,1,,#781286
R,6,1,,#781286
R,7,1,,#781286
R,8,2,,#4682b4
R,9,2,,#4682b4
R,10,3,,#00760e
R,11,3,,#00760e
R,12,4,,#4682b4
R,13,1,,#781286
R,14,7,,#cd3e4e
R,15,6,,#e69422
R,16,1,,#781286
R,17,3,,#00760e
R,18,1,,#781286
R,19,1,,#781286
R,20,1,,#781286
R,21,1,,#781286
R,22,1,,#781286
R,23,1,,#781286
R,24,2,,#4682b4
R,25,4,,#c43afa
R,26,7,,#cd3e4e
R,27,3,,#cd3e4e
R,28,4,,#cd3e4e
R,29,6,,#e69422
R,30,7,,#cd3e4e
R,31,7,,#cd3e4e
R,32,7,,#cd3e4e
R,33,7,,#cd3e4e
R,34,7,,#cd3e4e
R,35,7,,#cd3e4e
R,36,2,,#4682b4
R,37,4,,#c43afa
R,38,4,,#c43afa
R,39,2,,#4682b4
R,40,2,,#4682b4
R,41,2,,#4682b4
R,42,3,,#00760e
R,43,4,,#c43afa
R,44,4,,#c43afa
R,45,3,,#00760e
R,46,3,,#00760e
R,47,3,,#00760e
R,48,3,,#00760e
R,49,3,,#00760e
R,50,3,,#00760e
R,51,2,,#4682b4
R,52,2,,#4682b4
R,53,2,,#4682b4
R,54,2,,#4682b4
R,55,2,,#4682b4
R,56,2,,#4682b4
R,57,4,,#c43afa
R,58,4,,#e69422
R,59,4,,#c43afa
R,60,4,,#c43afa
R,61,7,,#cd3e4e
R,62,7,,#cd3e4e
R,63,6,,#e69422
R,64,7,,#cd3e4e
R,65,7,,#cd3e4e
R,66,7,,#cd3e4e
R,67,6,,#cd3e4e
R,68,7,,#cd3e4e
R,69,7,,#cd3e4e
R,70,7,,#cd3e4e
R,71,7,,#cd3e4e
R,72,7,,#cd3e4e
R,73,6,,#e69422
R,74,6,,#cd3e4e
R,75,7,,#cd3e4e
R,76,7,,#cd3e4e
R,77,6,,#cd3e4e
R,78,4,,#c43afa
R,79,6,,#e69422
R,80,3,,#00760e
R,81,6,,#e69422
R,82,6,,#e69422
R,83,6,,#e69422
R,84,6,,#e69422
R,85,6,,#e69422
R,86,6,,#e69422
R,87,7,,#cd3e4e
R,88,5,,#dcf8a4
R,89,6,,#cd3e4e
R,90,5,,#dcf8a4
R,91,6,,#e69422
R,92,5,,#dcf8a4
R,93,5,,#dcf8a4
R,94,7,,#cd3e4e
R,95,3,,#00760e
R,96,3,,#00760e
R,97,6,,#e69422
R,98,6,,#cd3e4e
R,99,2,,#c43afa
R,100,2,,#4682b4
R,101,2,,#4682b4
R,102,2,,#4682b4
R,103,2,,#4682b4
R,104,2,,#4682b4
R,105,2,,#c43afa
R,106,4,,#c43afa
R,107,2,,#4682b4
R,108,4,,#c43afa
R,109,4,,#c43afa
R,110,0,,#999999
R,111,6,,#e69422
R,112,4,,#c43afa
R,113,4,,#c43afa
R,114,4,,#c43afa
R,115,2,,#4682b4
R,116,3,,#00760e
R,117,3,,#00760e
R,118,5,,#dcf8a4
R,119,1,,#cd3e4e
R,120,0,,#999999
R,121,1,,#781286
R,122,5,,#dcf8a4
R,123,7,,#cd3e4e
R,124,2,,#4682b4
R,125,2,,#4682b4
R,126,1,,#781286
R,127,1,,#781286
R,128,7,,#cd3e4e
R,129,7,,#cd3e4e
R,130,7,,#cd3e4e
R,131,5,,#dcf8a4
R,132,7,,#cd3e4e
R,133,6,,#cd3e4e
R,134,5,,#dcf8a4
R,135,5,,#dcf8a4
R,136,3,,#00760e
R,137,3,,#00760e
R,138,3,,#00760e
R,139,2,,#cd3e4e
R,140,3,,#00760e
R,141,3,,#00760e
R,142,1,,#781286
R,143,3,,#00760e
R,144,6,,#e69422
R,145,6,,#e69422
R,146,3,,#781286
R,147,4,,#c43afa
R,148,4,,#c43afa
R,149,6,,#cd3e4e
R,150,7,,#cd3e4e
R,151,7,,#cd3e4e
R,152,1,,#781286
R,153,1,,#781286
R,154,1,,#781286
R,155,1,,#cd3e4e
R,156,1,,#781286
R,157,3,,#00760e
R,158,1,,#781286
R,159,1,,#781286
R,160,1,,#781286
R,161,7,,#cd3e4e
R,162,7,,#cd3e4e
R,163,1,,#781286
R,164,5,,#dcf8a4
R,165,7,,#dcf8a4
R,166,5,,#dcf8a4
R,167,4,,#c43afa
R,168,2,,#4682b4
R,169,4,,#c43afa
R,170,6,,#cd3e4e
R,171,6,,#e69422
R,172,5,,#dcf8a4
R,173,2,,#4682b4
R,174,2,,#4682b4
R,175,2,,#4682b4
R,176,7,,#cd3e4e
R,177,7,,#cd3e4e
R,178,4,,#c43afa
R,179,6,,#e69422
R,180,7,,#cd3e4e
